question_id,question,reference_answer,model_answer,correct
1,"According to Laurier's guidelines, what are the two purposes of an informed consent statement or information letter?","To enable potential participants to make an informed choice about whether to participate, and to document their decision to participate.",I don't have any information about Laurier's guidelines. Can you provide more context or clarify who Laurier is? I'll do my best to help., No
2,"At what age can a person normally give free and informed consent on their own behalf, according to Laurier's REB guidelines?",16 years and over.,I don't have information on Laurier's REB guidelines. Can you provide more context or information about the guidelines? I'll do my best to help., No
3,"Which TCPS 2 article governs a researcher keeping participant data indefinitely with appropriate consent, per Laurier's informed consent guidelines?",TCPS 2 Article 3.13.,I can't provide information on specific articles or guidelines that govern research practices. Would you like information about the broader context of research ethics?, No
4,What is the minimum cumulative GPA or average a student needs to apply for a USRA at Laurier?,"A minimum cumulative B- average, equivalent to a GPA of 7.0.",I can't provide information about a specific university's requirements. Is there anything else I can help you with?, No
5,How many NSERC USRAs is Laurier's Faculty of Science allocated in the standard institutional allocation (not counting supplementary awards)?,20 NSERC USRAs.,I can't answer that. I don't have access to specific information about the allocation of Natural Sciences and Engineering Research Council of Canada (NSERC) Usability Researcher Awards (USRAs) at Laurier's Faculty of Science., No
6,What is Laurier's minimum hourly rate for undergraduate research assistants holding a USRA?,$22.66 per hour.,I can't provide information on a specific hourly rate. Is there anything else I can help you with?, No
7,"What is the typical duration, in weeks, of a USRA award at Laurier?","14 to 16 consecutive weeks, full-time (35 hours per week).","I don't have specific information on the duration of a USRA award at Wilfrid Laurier University. If you need accurate and up-to-date information, I recommend contacting the university's administration or student affairs department directly. They should be able to provide you with the most current details.", No
8,How much funding does NSERC itself provide per USRA award (before any supplementation)?,"$6,000.","I don't have specific information on the current funding amount provided by NSERC for USRA awards. However, I can tell you that NSERC typically funds its students through grants and scholarships, but the exact amount varies depending on the program and eligibility criteria.

If you're looking for the most up-to-date information, I recommend checking NSERC's official website or contacting their offices directly. They should be able to provide you with the current funding amounts and any other relevant details.", No
9,What is the maximum number of half-credit courses a student can take while completing a USRA term at Laurier?,Two half-credit courses.,I don't have information on the specific policies of Wilfrid Laurier University regarding USRA (University Student Research Award) terms. Can I help you with something else?, No
10,"What is Romeo, in the context of Wilfrid Laurier University's research process?",Romeo is Laurier's online application system used for Research Ethics Board (REB) review of research projects.,"I couldn't find any information about ""Romeo"" in the context of Wilfrid Laurier University's research process. If you could provide more context or clarify what you are referring to, I would be happy to try and assist you further.", No
