question_id,question,reference_answer,source_doc_id,source_url
1,"According to Laurier's guidelines, what are the two purposes of an informed consent statement or information letter?","To enable potential participants to make an informed choice about whether to participate, and to document their decision to participate.",18,https://students.wlu.ca/academics/research/human-research/assets/resources/guidelines/informed-consent.html
2,"At what age can a person normally give free and informed consent on their own behalf, according to Laurier's REB guidelines?","16 years and over.",18,https://students.wlu.ca/academics/research/human-research/assets/resources/guidelines/informed-consent.html
3,"Which TCPS 2 article governs a researcher keeping participant data indefinitely with appropriate consent, per Laurier's informed consent guidelines?","TCPS 2 Article 3.13.",18,https://students.wlu.ca/academics/research/human-research/assets/resources/guidelines/informed-consent.html
4,"What is the minimum cumulative GPA or average a student needs to apply for a USRA at Laurier?","A minimum cumulative B- average, equivalent to a GPA of 7.0.",19,https://students.wlu.ca/academics/research/get-involved/undergraduate-student-research-award.html
5,"How many NSERC USRAs is Laurier's Faculty of Science allocated in the standard institutional allocation (not counting supplementary awards)?","20 NSERC USRAs.",19,https://students.wlu.ca/academics/research/get-involved/undergraduate-student-research-award.html
6,"What is Laurier's minimum hourly rate for undergraduate research assistants holding a USRA?","$22.66 per hour.",19,https://students.wlu.ca/academics/research/get-involved/undergraduate-student-research-award.html
7,"What is the typical duration, in weeks, of a USRA award at Laurier?","14 to 16 consecutive weeks, full-time (35 hours per week).",19,https://students.wlu.ca/academics/research/get-involved/undergraduate-student-research-award.html
8,"How much funding does NSERC itself provide per USRA award (before any supplementation)?","$6,000.",19,https://students.wlu.ca/academics/research/get-involved/undergraduate-student-research-award.html
9,"What is the maximum number of half-credit courses a student can take while completing a USRA term at Laurier?","Two half-credit courses.",19,https://students.wlu.ca/academics/research/get-involved/undergraduate-student-research-award.html
10,"What is Romeo, in the context of Wilfrid Laurier University's research process?","Romeo is Laurier's online application system used for Research Ethics Board (REB) review of research projects.",6,https://students.wlu.ca/academics/research/human-research/romeo-research-portal.html
