question_id,retriever,correct,supported,citation_correct,idk_correct,notes
1,BM25,yes,yes,yes,,"Correct content, cites 18_0 matching ground truth"
2,BM25,yes,yes,no,,"Correct content (16+) but cites 18_0 instead of ground-truth 18_5"
3,BM25,yes,partial,no,,"Correct dates given but cites 416_7 instead of ground-truth 247_0"
4,BM25,no,no,no,,"Wrong date given (Sept 15 vs correct Sept 10); wrong chunk cited"
5,BM25,no,no,no,no,"False refusal - correct chunk 19_0 was retrieved but model said I don't know"
6,BM25,no,no,no,no,"False refusal - correct chunk 19_1 was retrieved but model said I don't know"
7,BM25,partial,partial,no,,"Correctly identified co-op exists but failed to state GPA figure; wrong chunk cited"
8,BM25,partial,partial,partial,,"Transcript info correct; grade scale explanation wrong/vague"
9,BM25,yes,,,yes,"Correct refusal on unanswerable question"
10,BM25,yes,,,yes,"Correct refusal on unanswerable question"
1,Dense,yes,yes,yes,,"Correct content, cites 18_0 matching ground truth"
2,Dense,yes,yes,no,,"Correct content (16+) but cites 17_6 instead of ground-truth 18_5"
3,Dense,no,no,no,,"Retrieval miss (247_0 not retrieved) - no correct date given"
4,Dense,no,no,no,,"Retrieval miss (1894_0 not retrieved) - discusses unrelated refund policy"
5,Dense,yes,yes,partial,,"Correct content (20 USRAs) but cites 19_3 not ground-truth 19_0 (same doc, different chunk)"
6,Dense,yes,partial,no,,"Correct content but cites 1907_0 - unrelated doc number, likely fabricated/incorrect citation"
7,Dense,partial,partial,no,,"Correct co-op answer but GPA stated as 7.1 not 7.0; wrong chunk cited"
8,Dense,no,no,no,,"Wrong grade scale description (4.0 scale vs correct 12-point); wrong chunks cited"
9,Dense,yes,,,yes,"Correct refusal on unanswerable question"
10,Dense,yes,,,yes,"Correct refusal on unanswerable question"
