question_id,retriever,question,type,ground_truth_chunk_ids,retrieved_chunk_ids,retrieval_hit,reference_answer,generated_answer,correct,supported,citation_correct,idk_correct,notes
1,BM25,"According to Wilfrid Laurier University guidelines, what are the two purposes of an informed consent statement or information letter?",factoid,"[""18_0""]","[""18_0"", ""18_1"", ""276_1"", ""14_0"", ""5_0"", ""18_4"", ""1402_0""]",True,"To enable potential participants to make an informed choice about whether to participate, and to document their decision to participate.","According to Wilfrid Laurier University guidelines, an informed consent statement or information letter has two purposes:

1. To enable potential research participants to make an informed choice as to whether they wish to participate in a study.
2. To document their decision to participate.[18_0]",yes,yes,yes,,"Correct content, cites 18_0 matching ground truth"
2,BM25,"At what age can a person normally give free and informed consent on their own behalf, according to Laurier's REB guidelines?",factoid,"[""18_5""]","[""18_5"", ""18_0"", ""10_2"", ""1070_6"", ""10_3"", ""1825_0"", ""141_0""]",True,16 years and over.,"According to Laurier's REB guidelines, persons aged 16 years and over may give free and informed consent on their own behalf [18_0].",yes,yes,no,,Correct content (16+) but cites 18_0 instead of ground-truth 18_5
3,BM25,What is the Final Exam Dates for Spring 2026?,factoid,"[""247_0""]","[""247_0"", ""224_1"", ""82_2"", ""456_2"", ""247_1"", ""416_7"", ""1120_0""]",True,"Jul. 31-Aug, 14, 2026 (no exams Aug. 1,2,3)","The Final Exam Dates for Spring 2026 are:

* Virtual (VA, VH and VS) Spring 2026 Final Exam Schedule (July 31-Aug. 14, 2026)
* For courses with scheduled final exams, students should refer to their instructor.
* Students whose home campus is Waterloo, Brantford, or Milton must write their in-person midterms, assessments and examinations at their designated home campus.

[Chunk ID: 416_7]",yes,partial,no,,Correct dates given but cites 416_7 instead of ground-truth 247_0
4,BM25,When is the tution due date for Fall 2026?,factoid,"[""1894_0""]","[""593_7"", ""1894_0"", ""1892_0"", ""594_5"", ""593_5"", ""84_0"", ""594_6""]",True,"September 10, 2026.","The tuition due date for Fall 2026 is September 15, 2026 [Chunk ID: 594_6].",no,no,no,,Wrong date given (Sept 15 vs correct Sept 10); wrong chunk cited
5,BM25,How many NSERC USRAs is the Faculty of Science allocated in the standard institutional allocation (not counting supplementary awards)?,factoid,"[""19_0""]","[""19_0"", ""19_3"", ""19_5"", ""19_2"", ""1937_4"", ""19_1"", ""1448_0""]",True,20 NSERC USRAs.,I don't know.,no,no,no,no,False refusal - correct chunk 19_0 was retrieved but model said I don't know
6,BM25,"What is the typical duration, in weeks, of a USRA award at Laurier?",factoid,"[""19_1""]","[""19_1"", ""19_0"", ""19_2"", ""19_3"", ""61_3"", ""19_6"", ""1937_7""]",True,The duration of the USRA award is 14 to 16 consecutive weeks on a full-time basis (35 hrs/week).,I don't know.,no,no,no,no,False refusal - correct chunk 19_1 was retrieved but model said I don't know
7,BM25,Is Data Science an academic program with co-op? If so what GPA do Data Science students need to be eligible for a co-op admission interview?,multi-hop,"[""598_0"", ""634_0""]","[""598_1"", ""598_0"", ""598_3"", ""612_0"", ""603_1"", ""616_0"", ""598_2""]",True,"Data Science is an academic program with co-op. To be eligible for a co-op admission interview, Data Science students need to achieve a first-year overall GPA of at least 7.0 out of 12.","According to the retrieved context, Data Science is an academic program with co-op. However, the exact GPA requirement for Data Science students to be eligible for a co-op admission interview is not explicitly stated in the provided chunks.

The relevant chunk that mentions co-op eligibility for Data Science students is:

""If you are in student in Computer Science or Data Science, please view this webinar about applying in 2026 to Computer Science Co-op or Data Science Co-op or PEP."" [Chunk ID: 602_1]

This chunk does not provide the specific GPA requirement for Data Science students. It only mentions that an email will be sent in August stating whether applicants are eligible for an admission interview.

Therefore, I don't know the exact GPA requirement for Data Science students to be eligible for a co-op admission interview.",partial,partial,no,,Correctly identified co-op exists but failed to state GPA figure; wrong chunk cited
8,BM25,What is Laurier's grade scale? How can a student receive an official transcript with their GPA?,multi-hop,"[""107_0"", ""325_0""]","[""107_3"", ""139_0"", ""107_2"", ""325_0"", ""139_1"", ""145_1"", ""107_0""]",True,Laurier uses a 12-point grade scale. Official Transcripts can be requested via Laurier's online transcript ordering system.,"According to the retrieved context, Laurier's grade scale does not explicitly state a numerical GPA scale. However, it mentions that grades are always excluded from the GPA calculation [Chunk ID: 107_0]. 

Regarding receiving an official transcript with their GPA, the context states that ""Official Transcripts can be requested via our online transcript ordering system"" and that ""Your official GPA is available on LORIS, but you can also use the GPA calculator to determine how your current grades will affect your cumulative GPA."" [Chunk ID: 107_0].",partial,partial,partial,,Transcript info correct; grade scale explanation wrong/vague
9,BM25,When was McMaster founded?,unanswerable,[],"[""818_0"", ""70_11"", ""825_1"", ""707_1"", ""770_0"", ""435_4"", ""909_13""]",,I don't know,I don't know.,yes,,,yes,Correct refusal on unanswerable question
10,BM25,What is the capital of Canada?,unanswerable,[],"[""909_14"", ""733_1"", ""909_5"", ""471_1"", ""635_6"", ""1324_3"", ""93_0""]",,I don't know,I don't know.,yes,,,yes,Correct refusal on unanswerable question
1,Dense,"According to Wilfrid Laurier University guidelines, what are the two purposes of an informed consent statement or information letter?",factoid,"[""18_0""]","[""18_1"", ""18_0"", ""1813_2"", ""5_0"", ""368_3"", ""14_0"", ""12_1""]",True,"To enable potential participants to make an informed choice about whether to participate, and to document their decision to participate.","According to Wilfrid Laurier University guidelines, an informed consent statement or information letter has two purposes:

1. To enable potential research participants to make an informed choice as to whether they wish to participate in a study.
2. To document their decision to participate.

These statements appear in the ""Informed Consent Guidelines"" section of the retrieved context, specifically in Chunk ID 18_0 [Chunk ID: 18_0].",yes,yes,yes,,"Correct content, cites 18_0 matching ground truth"
2,Dense,"At what age can a person normally give free and informed consent on their own behalf, according to Laurier's REB guidelines?",factoid,"[""18_5""]","[""18_5"", ""17_6"", ""5_0"", ""843_2"", ""18_0"", ""1845_5"", ""16_1""]",True,16 years and over.,"According to Laurier's REB guidelines, persons aged 16 years and over may give free and informed consent on their own behalf [Chunk ID: 17_6].",yes,yes,no,,Correct content (16+) but cites 17_6 instead of ground-truth 18_5
3,Dense,What is the Final Exam Dates for Spring 2026?,factoid,"[""247_0""]","[""454_1"", ""454_20"", ""1374_0"", ""1590_1"", ""456_1"", ""454_2"", ""1520_0""]",False,"Jul. 31-Aug, 14, 2026 (no exams Aug. 1,2,3)","According to the retrieved context, there are no final exam dates specified for Spring 2026 in Chunk Rank 3 (Chunk ID: 1374_0). However, it is mentioned that midterm exams have been scheduled for various courses in Spring 2026. 

For Intersession 2026, the content of Chunk Rank 2 does not provide any information about final exam dates for Spring term.

However, according to Chunk Rank 1 (Chunk ID: 454_1), there are no examinations scheduled on the Civic Holiday weekend (August 1, 2, 3).",no,no,no,,Retrieval miss (247_0 not retrieved) - no correct date given
4,Dense,When is the tution due date for Fall 2026?,factoid,"[""1894_0""]","[""462_2"", ""454_1"", ""1435_1"", ""454_0"", ""454_20"", ""441_3"", ""50_0""]",False,"September 10, 2026.","According to the retrieved context, if you drop/withdraw during May 16-June 29, you are responsible for 55% tuition (assessed at course rate). However, this information does not specify a specific date for Fall 2026 tuition due. 

However, it is mentioned that ""May 15: Last day to add courses (including online learning)."" This implies that the tuition due date may be related to the start of classes, but without further information, I don't know the exact tuition due date for Fall 2026.

[Chunk ID: 454_20]",no,no,no,,Retrieval miss (1894_0 not retrieved) - discusses unrelated refund policy
5,Dense,How many NSERC USRAs is the Faculty of Science allocated in the standard institutional allocation (not counting supplementary awards)?,factoid,"[""19_0""]","[""19_3"", ""19_0"", ""1639_0"", ""19_2"", ""1421_0"", ""1419_0"", ""19_1""]",True,20 NSERC USRAs.,The Faculty of Science is allocated a total of 20 NSERC URSAs in the standard institutional allocation [19_3].,yes,yes,partial,,"Correct content (20 USRAs) but cites 19_3 not ground-truth 19_0 (same doc, different chunk)"
6,Dense,"What is the typical duration, in weeks, of a USRA award at Laurier?",factoid,"[""19_1""]","[""19_2"", ""19_1"", ""1907_0"", ""1714_0"", ""1937_9"", ""1941_2"", ""1937_7""]",True,The duration of the USRA award is 14 to 16 consecutive weeks on a full-time basis (35 hrs/week).,The typical duration of a USRA award at Laurier is 14 to 16 consecutive weeks on a full-time basis (35 hrs/week) [Chunk ID: 1907_0].,yes,partial,no,,"Correct content but cites 1907_0 - unrelated doc number, likely fabricated/incorrect citation"
